Logistic_Unbalanced,"[0.776356993736952, 0.7758350730688935, 0.7781837160751566, 0.776356993736952, 0.7779227557411273, 0.7774878218510787]"
Logistic_OverSampling,"[0.7468684759916493, 0.7447807933194155, 0.7361691022964509, 0.7437369519832986, 0.7460855949895616, 0.7419972164231037]"
Logistic_UnderSampling,"[0.7424321503131524, 0.7406054279749478, 0.7364300626304802, 0.7382567849686847, 0.7416492693110647, 0.7387787056367432]"
Logistic_SMOTE,"[0.7729645093945721, 0.7813152400835073, 0.7797494780793319, 0.7797494780793319, 0.7807933194154488, 0.7800974251913709]"
XGBoost_Unbalanced,"[0.7732254697286013, 0.7698329853862212, 0.7677453027139874, 0.7698329853862212, 0.769572025052192, 0.7690501043841336]"
XGBoost_OverSampling,"[0.7439979123173278, 0.7317327766179541, 0.7390396659707724, 0.7426931106471816, 0.738517745302714, 0.7400835073068893]"
XGBoost_UnderSampling,"[0.7314718162839249, 0.7111169102296451, 0.6988517745302714, 0.7032881002087683, 0.717901878914405, 0.7066805845511482]"
XGBoost_SMOTE,"[0.7578288100208769, 0.7601774530271399, 0.7690501043841336, 0.7734864300626305, 0.7661795407098121, 0.769572025052192]"
CatBoost_Unbalanced,"[0.7734864300626305, 0.776356993736952, 0.7766179540709812, 0.7758350730688935, 0.7771398747390397, 0.7765309672929714]"
CatBoost_OverSampling,"[0.7505219206680585, 0.7466075156576201, 0.7533924843423799, 0.7486951983298539, 0.7513048016701461, 0.7511308281141267]"
CatBoost_UnderSampling,"[0.7395615866388309, 0.7325156576200418, 0.7374739039665971, 0.7353862212943633, 0.7301670146137788, 0.7343423799582464]"
CatBoost_SMOTE,"[0.7698329853862212, 0.7729645093945721, 0.7781837160751566, 0.7774008350730689, 0.7779227557411273, 0.7778357689631176]"
AdaBoost_Unbalanced,"[0.7732254697286013, 0.7768789144050104, 0.782098121085595, 0.778705636743215, 0.7802713987473904, 0.7803583855254002]"
AdaBoost_OverSampling,"[0.7434759916492694, 0.7479123173277662, 0.7481732776617954, 0.7513048016701461, 0.7460855949895616, 0.7485212247738344]"
AdaBoost_UnderSampling,"[0.7403444676409185, 0.7400835073068893, 0.7426931106471816, 0.7364300626304802, 0.7468684759916493, 0.7419972164231037]"
AdaBoost_SMOTE,"[0.7531315240083507, 0.7445198329853863, 0.767223382045929, 0.7526096033402923, 0.7669624217118998, 0.7622651356993737]"
