Data,Sampling,Model,Accuracy,Precision,Recall,F1Score,ROCScore
Simple_Data_1,Unbalanced,Logit_Simple,0.7724425887265136,0.5658627087198516,0.32343584305408274,0.41160593792172745,0.6212194791594401
Simple_Data_1,Unbalanced,Logit_GridSearchCV,0.7620041753653445,0.5643153526970954,0.14422057264050903,0.22972972972972977,0.5539379083347924
Simple_Data_1,Unbalanced,Logit_RFECV,0.7711377870563675,0.5629770992366412,0.31283138918345704,0.40218132242672117,0.6167826035567683
Simple_Data_1,Unbalanced,RandomForest,0.7625260960334029,0.5230769230769231,0.39660657476139977,0.45114595898673104,0.6392863264945802
Simple_Data_1,Unbalanced,XGBoost,0.7716597077244259,0.545822102425876,0.42948038176033937,0.4807121661721068,0.6564155110601628
Simple_Data_1,Unbalanced,NeuralNet,0.7377348643006263,0.4630071599045346,0.41145281018027574,0.4357102751263336,0.6278447851524431
Simple_Data_1,OverSampling,Logit_Simple,0.7379958246346555,0.47816750178954903,0.7083775185577943,0.5709401709401709,0.7280205349798318
Simple_Data_1,OverSampling,Logit_GridSearchCV,0.7413883089770354,0.4827089337175792,0.7104984093319194,0.5748605748605748,0.7309847532987045
Simple_Data_1,OverSampling,Logit_RFECV,0.7541753653444676,0.6666666666666666,0.0021208907741251328,0.004228329809725159,0.5008873751205344
Simple_Data_1,OverSampling,RandomForest,0.7546972860125261,0.5016042780748663,0.4973488865323436,0.49946751863684774,0.6680236990640257
Simple_Data_1,OverSampling,XGBoost,0.7492171189979123,0.4932228915662651,0.694591728525981,0.5768383971818583,0.7308195748895048
Simple_Data_1,OverSampling,NeuralNet,0.6855427974947808,0.4026745913818722,0.574761399787911,0.4735692442114461,0.6482322056052743
Simple_Data_1,UnderSampling,Logit_Simple,0.7332985386221295,0.4723969252271139,0.7168610816542949,0.5695029486099411,0.7277624895983485
Simple_Data_1,UnderSampling,Logit_GridSearchCV,0.7400835073068893,0.48083875632682577,0.7051961823966065,0.5717970765262252,0.7283336398310482
Simple_Data_1,UnderSampling,Logit_RFECV,0.774008350730689,0.573055028462998,0.32025450689289503,0.41088435374149657,0.6211864434776002
Simple_Data_1,UnderSampling,RandomForest,0.7301670146137788,0.46859903381642515,0.7200424178154825,0.5677257525083612,0.7267571036810192
Simple_Data_1,UnderSampling,XGBoost,0.7173799582463466,0.45483870967741935,0.7476139978791092,0.5655836341756919,0.7275626237232168
Simple_Data_1,UnderSampling,NeuralNet,0.6302192066805845,0.36595022624434387,0.6861081654294804,0.47731464404278867,0.6490423139366162
MissForest_Data_1,Unbalanced,Logit_Simple,0.7737473903966597,0.5648464163822525,0.35100742311770944,0.4329627207325049,0.631370793594161
MissForest_Data_1,Unbalanced,Logit_GridSearchCV,0.7580897703549061,0.536036036036036,0.1261930010604454,0.20429184549356225,0.5452702630778169
MissForest_Data_1,Unbalanced,Logit_RFECV,0.7721816283924844,0.5605536332179931,0.34358430540827145,0.4260355029585799,0.6278323050059702
MissForest_Data_1,Unbalanced,RandomForest,0.7510438413361169,0.492040520984081,0.3605514316012725,0.4161566707466339,0.6195280522492344
MissForest_Data_1,Unbalanced,XGBoost,0.7680062630480167,0.5399408284023669,0.3870625662778367,0.4508956145768993,0.6397064302486449
MissForest_Data_1,Unbalanced,NeuralNet,0.7262526096033403,0.43935926773455375,0.40721102863202546,0.42267473858007704,0.6188010837171896
MissForest_Data_1,OverSampling,Logit_Simple,0.7231210855949896,0.45489296636085624,0.630965005302227,0.5286539315859619,0.6920834026164994
MissForest_Data_1,OverSampling,Logit_GridSearchCV,0.7293841336116911,0.4635093167701863,0.633085896076352,0.5351860152398027,0.6969513938671825
MissForest_Data_1,OverSampling,Logit_RFECV,0.7309498956158664,0.4635157545605307,0.5927889713679746,0.5202419730107026,0.6844180232402352
MissForest_Data_1,OverSampling,RandomForest,0.7390396659707724,0.4683684794672586,0.44750795334040294,0.457700650759219,0.6408533190031886
MissForest_Data_1,OverSampling,XGBoost,0.7312108559498957,0.46511627906976744,0.6150583244962884,0.5296803652968036,0.6920912944738278
MissForest_Data_1,OverSampling,NeuralNet,0.6844989561586639,0.3810375670840787,0.4517497348886532,0.41339155749636103,0.6061102430068049
MissForest_Data_1,UnderSampling,Logit_Simple,0.7194676409185804,0.4509658246656761,0.6436903499469777,0.5303626037570992,0.6939462480091413
MissForest_Data_1,UnderSampling,Logit_GridSearchCV,0.7254697286012526,0.45836516424751717,0.6362672322375398,0.5328596802841918,0.6954267971502687
MissForest_Data_1,UnderSampling,Logit_RFECV,0.7403444676409185,0.4735772357723577,0.4941675503711559,0.48365334717176967,0.6574333771239649
