Data,Sampling,Model,Accuracy,Precision,Recall,F1Score,ROCScore
MICEForest_Data_3,OverSampling,Logit_Simple,0.7252087682672234,0.45709828393135726,0.6214209968186638,0.5267415730337079,0.6902535929056973
MICEForest_Data_3,OverSampling,Logit_GridSearchCV,0.7272964509394572,0.46021840873634945,0.6256627783669141,0.5303370786516853,0.6930667647459354
MICEForest_Data_3,OverSampling,Logit_RFECV,0.7395615866388309,0.4768713204373423,0.601272534464475,0.5318949343339587,0.6929865614516907
MICEForest_Data_3,OverSampling,RandomForest,0.7445198329853863,0.47862232779097386,0.42735949098621423,0.45154061624649866,0.6377018984872227
MICEForest_Data_3,OverSampling,XGBoost,0.7280793319415448,0.45898922949461474,0.5874867444326617,0.5153488372093024,0.6807284881734095
MICEForest_Data_3,OverSampling,NeuralNet,0.7126826722338204,0.4096109839816934,0.3796394485683987,0.3940561364887177,0.6005154667556427
MICEForest_Data_3,UnderSampling,Logit_Simple,0.7126826722338204,0.4419970631424376,0.6383881230116649,0.5223427331887202,0.6876606589443923
MICEForest_Data_3,UnderSampling,Logit_GridSearchCV,0.7272964509394572,0.46064814814814814,0.633085896076352,0.533273782938812,0.6955668317349569
MICEForest_Data_3,UnderSampling,Logit_RFECV,0.7343423799582464,0.4692370795734208,0.6065747613997879,0.5291396854764108,0.6913109182561418
MICEForest_Data_3,UnderSampling,RandomForest,0.694937369519833,0.4224965706447188,0.6532343584305408,0.5131195335276969,0.6808920147985171
MICEForest_Data_3,UnderSampling,XGBoost,0.6965031315240083,0.4259757738896366,0.6712619300106044,0.5212021407986825,0.6880020276567387
MICEForest_Data_3,UnderSampling,NeuralNet,0.6239561586638831,0.35107655502392343,0.6224814422057264,0.4489483747609943,0.6234594819197549
