Logistic_Unbalanced,"[0.6254597302673123, 0.6335065795340187, 0.6375190852891774, 0.6342039318880378, 0.6373452931445823, 0.6363561034405992]"
Logistic_OverSampling,"[0.733136793525833, 0.7090115321551864, 0.7004782468649171, 0.7048186829285159, 0.7035846677112394, 0.7029605325015574]"
Logistic_UnderSampling,"[0.729832559002888, 0.7083294662306394, 0.7027506473984864, 0.7043169604754808, 0.7093744028738488, 0.705480670249272]"
Logistic_SMOTE,"[0.6557288624166753, 0.6619897471733754, 0.6584986178520019, 0.6560502413981987, 0.6584942503007242, 0.657681036516975]"
XGBoost_Unbalanced,"[0.6510059016536641, 0.6448991550608091, 0.6358139204778102, 0.6396526340883737, 0.6345820890361724, 0.6366828812007854]"
XGBoost_OverSampling,"[0.7210818060552457, 0.6880800426564174, 0.6985425117423435, 0.6964286169238972, 0.689800493897257, 0.6949238741878325]"
XGBoost_UnderSampling,"[0.7249816653836985, 0.6942872429286615, 0.6840204037437193, 0.6824278853590582, 0.697056998363988, 0.6878350958222552]"
XGBoost_SMOTE,"[0.6865717816151569, 0.6688986673509164, 0.6671127028409102, 0.6714662415583422, 0.6645014531207063, 0.6676934658399862]"
CatBoost_Unbalanced,"[0.64733224508514, 0.6464458141570536, 0.6466196063016486, 0.6478470701920085, 0.6476667267204967, 0.6473778010713847]"
CatBoost_OverSampling,"[0.7331215070963609, 0.7007843394169684, 0.7018052545281498, 0.6979774597957806, 0.697966540917586, 0.6992497517471722]"
CatBoost_UnderSampling,"[0.7359655109034098, 0.7029419097481924, 0.7090421050141309, 0.7038043191442511, 0.6926335788261113, 0.7018266676614978]"
CatBoost_SMOTE,"[0.7054090302762295, 0.6837103076029969, 0.6791414850038308, 0.6758219640514135, 0.6775686205999195, 0.6775106898850546]"
AdaBoost_Unbalanced,"[0.6146300229114461, 0.6289552271399637, 0.6408255035877614, 0.6399652779673417, 0.6448554795480312, 0.6418820870343781]"
AdaBoost_OverSampling,"[0.7291286553219523, 0.6995546917509696, 0.7056745409976578, 0.7060112064086537, 0.696939074479488, 0.7028749406285998]"
AdaBoost_UnderSampling,"[0.720047788290231, 0.6964395358020916, 0.6995765295073585, 0.6985534306205381, 0.7076037247933148, 0.7019112283070704]"
AdaBoost_SMOTE,"[0.7198194017546637, 0.6787576864352958, 0.6900301543019469, 0.6851945471122297, 0.6902061302221809, 0.6884769438787859]"
