Logistic_Unbalanced,"[0.32460732984293195, 0.34973821989528797, 0.35706806282722514, 0.3507853403141361, 0.35706806282722514, 0.3549738219895288]"
Logistic_OverSampling,"[0.7057591623036649, 0.6376963350785341, 0.6293193717277487, 0.6272251308900524, 0.618848167539267, 0.625130890052356]"
Logistic_UnderSampling,"[0.7047120418848167, 0.643979057591623, 0.6356020942408377, 0.6366492146596858, 0.6450261780104712, 0.6390924956369982]"
Logistic_SMOTE,"[0.42198952879581153, 0.42408376963350786, 0.4167539267015707, 0.4094240837696335, 0.41465968586387436, 0.41361256544502617]"
XGBoost_Unbalanced,"[0.4073298429319372, 0.3958115183246073, 0.37277486910994767, 0.38010471204188484, 0.36544502617801045, 0.37277486910994767]"
XGBoost_OverSampling,"[0.675392670157068, 0.6010471204188481, 0.6178010471204188, 0.6041884816753926, 0.5926701570680628, 0.6048865619546248]"
XGBoost_UnderSampling,"[0.7120418848167539, 0.6607329842931937, 0.6544502617801047, 0.6408376963350786, 0.6554973821989529, 0.650261780104712]"
XGBoost_SMOTE,"[0.5445026178010471, 0.4869109947643979, 0.4638743455497382, 0.4680628272251309, 0.4617801047120419, 0.46457242582897035]"
CatBoost_Unbalanced,"[0.3958115183246073, 0.387434554973822, 0.387434554973822, 0.39267015706806285, 0.38952879581151834, 0.3898778359511344]"
CatBoost_OverSampling,"[0.6984293193717277, 0.6094240837696335, 0.5989528795811518, 0.5968586387434555, 0.5916230366492147, 0.5958115183246073]"
CatBoost_UnderSampling,"[0.7287958115183246, 0.643979057591623, 0.6523560209424084, 0.6408376963350786, 0.6178010471204188, 0.6369982547993019]"
CatBoost_SMOTE,"[0.5769633507853403, 0.5057591623036649, 0.4816753926701571, 0.4732984293193717, 0.4774869109947644, 0.4774869109947644]"
AdaBoost_Unbalanced,"[0.29842931937172773, 0.33403141361256544, 0.35916230366492147, 0.3633507853403141, 0.374869109947644, 0.3657940663176265]"
AdaBoost_OverSampling,"[0.7005235602094241, 0.6031413612565445, 0.6209424083769634, 0.6157068062827226, 0.5989528795811518, 0.6118673647469459]"
AdaBoost_UnderSampling,"[0.6795811518324607, 0.6094240837696335, 0.6136125654450262, 0.6230366492146597, 0.6293193717277487, 0.6219895287958115]"
AdaBoost_SMOTE,"[0.6534031413612565, 0.5476439790575917, 0.5361256544502618, 0.5507853403141362, 0.53717277486911, 0.5413612565445026]"
