Logistic_Unbalanced,"[0.4197698036560596, 0.43745907007203666, 0.4451697127937337, 0.4387688277668631, 0.4448793215916504, 0.4429392873840824]"
Logistic_OverSampling,"[0.5815358067299395, 0.5546448087431695, 0.543154089471306, 0.5495412844036698, 0.548491879350348, 0.5470624177417746]"
Logistic_UnderSampling,"[0.576939562794685, 0.5530575539568345, 0.545863309352518, 0.5479945921586301, 0.5544554455445545, 0.5494377823519009]"
Logistic_SMOTE,"[0.4809069212410501, 0.49150485436893204, 0.48536585365853663, 0.4809348093480935, 0.4852941176470588, 0.483864926884563]"
XGBoost_Unbalanced,"[0.4723740133576199, 0.46153846153846156, 0.4444444444444445, 0.4514925373134329, 0.4414927261227071, 0.4458099026268615]"
XGBoost_OverSampling,"[0.5680317040951123, 0.5275735294117646, 0.5412844036697249, 0.5392523364485982, 0.5304592314901594, 0.5369986572028275]"
XGBoost_UnderSampling,"[0.5692758476349937, 0.5327142254115661, 0.5199667221297837, 0.5184243964421855, 0.5366480925846548, 0.5250130703855413]"
XGBoost_SMOTE,"[0.5284552845528455, 0.502974580854516, 0.5002823263692829, 0.5073779795686719, 0.49606299212598426, 0.5012410993546463]"
CatBoost_Unbalanced,"[0.46551724137931033, 0.4633688165309956, 0.4636591478696742, 0.4661280298321939, 0.4655819774718398, 0.4651230517245693]"
CatBoost_OverSampling,"[0.582532751091703, 0.5451990632318502, 0.5476304451890858, 0.5420827389443652, 0.5424867978876621, 0.5440666606737043]"
CatBoost_UnderSampling,"[0.5824267782426779, 0.5454545454545454, 0.5532859680284192, 0.546916890080429, 0.5329719963866306, 0.5443916181651596]"
CatBoost_SMOTE,"[0.5554435483870968, 0.5261437908496732, 0.519774011299435, 0.514513375071144, 0.5173000567214974, 0.5171958143640255]"
AdaBoost_Unbalanced,"[0.3961084086170951, 0.42732752846617544, 0.4510190664036818, 0.45006485084306097, 0.4595635430038511, 0.45354915341686464]"
AdaBoost_OverSampling,"[0.5764756570443774, 0.5439093484419263, 0.5513714551371455, 0.5523720056364491, 0.5403873405762871, 0.5480436004499606]"
AdaBoost_UnderSampling,"[0.5660706498037505, 0.5388888888888889, 0.5430954587581094, 0.540909090909091, 0.5534069981583795, 0.5458038492751933]"
AdaBoost_SMOTE,"[0.568824065633546, 0.5165432098765432, 0.5344467640918581, 0.526, 0.5346534653465347, 0.5317000764794643]"
