Logistic_Unbalanced,"[0.5938697318007663, 0.583916083916084, 0.5909878682842288, 0.5856643356643356, 0.5899653979238755, 0.58887253395748]"
Logistic_OverSampling,"[0.4944974321349963, 0.49073327961321517, 0.47774244833068363, 0.4889795918367347, 0.4925, 0.48640734672247277]"
Logistic_UnderSampling,"[0.488388969521045, 0.4846335697399527, 0.47832939322301027, 0.4810126582278481, 0.4861878453038674, 0.4818432989182419]"
Logistic_SMOTE,"[0.5589459084604715, 0.5844155844155844, 0.581021897810219, 0.5827123695976155, 0.5849335302806499, 0.5828892658961614]"
XGBoost_Unbalanced,"[0.5621387283236994, 0.5534407027818448, 0.5502318392581144, 0.555895865237366, 0.5575079872204473, 0.5545452305719759]"
XGBoost_OverSampling,"[0.49012158054711247, 0.4701064701064701, 0.4816326530612245, 0.4869198312236287, 0.48006785411365566, 0.4828734461328363]"
XGBoost_UnderSampling,"[0.47419804741980476, 0.44625176803394623, 0.4313319530710835, 0.4352773826458037, 0.45428156748911463, 0.44029696773533394]"
XGBoost_SMOTE,"[0.5133267522211253, 0.5201342281879194, 0.5428921568627451, 0.5539033457249071, 0.5358444714459295, 0.5442133246778605]"
CatBoost_Unbalanced,"[0.5650224215246636, 0.5763239875389408, 0.5772230889235569, 0.573394495412844, 0.578538102643857, 0.5763852289934193]"
CatBoost_OverSampling,"[0.49962546816479403, 0.49322033898305084, 0.5044091710758377, 0.4965156794425087, 0.500886524822695, 0.5006037917803472]"
CatBoost_UnderSampling,"[0.48501742160278744, 0.47307692307692306, 0.48033924441017734, 0.4770070148090413, 0.4686258935663225, 0.4753240509285137]"
CatBoost_SMOTE,"[0.5354713313896987, 0.5482406356413166, 0.5644171779141104, 0.5635910224438903, 0.5643564356435643, 0.564121545333855]"
AdaBoost_Unbalanced,"[0.5888429752066116, 0.5929368029739777, 0.6060070671378092, 0.5911413969335605, 0.593698175787728, 0.5969488799530326]"
AdaBoost_OverSampling,"[0.48975109809663253, 0.49527085124677556, 0.49581939799331104, 0.5008517887563884, 0.49225473321858865, 0.49630863998942937]"
AdaBoost_UnderSampling,"[0.4850523168908819, 0.4829875518672199, 0.48711554447215294, 0.4779116465863454, 0.4938373048479869, 0.48628816530216173]"
AdaBoost_SMOTE,"[0.5036319612590799, 0.48878504672897194, 0.5327783558792925, 0.5033492822966508, 0.5321576763485477, 0.5227617715081636]"
