iter	Passed	Remaining
345	5069	9583
346	5083	9567
347	5097	9550
348	5112	9535
349	5123	9514
350	5137	9499
351	5152	9484
352	5163	9463
353	5177	9447
354	5191	9433
355	5206	9418
356	5221	9404
357	5237	9392
358	5251	9376
359	5265	9361
360	5280	9346
361	5294	9330
362	5308	9315
363	5320	9296
364	5332	9277
365	5347	9263
366	5362	9248
367	5373	9228
368	5388	9214
369	5399	9194
370	5414	9179
371	5428	9164
372	5442	9149
373	5457	9134
374	5472	9121
375	5486	9105
376	5500	9090
377	5513	9072
378	5527	9056
379	5541	9041
380	5556	9027
381	5570	9011
382	5586	8999
383	5604	8990
384	5623	8982
385	5642	8974
386	5660	8966
387	5678	8957
388	5694	8943
389	5708	8928
390	5722	8913
391	5734	8894
392	5748	8878
393	5760	8860
394	5775	8845
395	5790	8831
396	5804	8815
397	5818	8800
398	5833	8786
399	5846	8770
400	5858	8751
401	5873	8737
402	5887	8721
403	5901	8706
404	5916	8691
405	5930	8676
406	5944	8661
407	5958	8645
408	5973	8631
409	5987	8616
410	6001	8601
411	6013	8582
412	6027	8567
413	6042	8552
414	6057	8538
415	6071	8522
416	6084	8507
417	6099	8492
418	6113	8477
419	6127	8462
420	6142	8447
421	6156	8431
422	6169	8416
423	6184	8401
424	6198	8385
425	6213	8372
426	6230	8360
427	6242	8342
428	6254	8325
429	6269	8310
430	6283	8295
431	6298	8281
432	6313	8267
433	6327	8252
434	6341	8236
435	6355	8221
436	6369	8206
437	6382	8189
438	6394	8171
439	6408	8156
440	6423	8141
441	6437	8127
442	6451	8111
443	6466	8097
444	6480	8082
445	6494	8067
446	6509	8053
447	6524	8039
448	6538	8023
449	6552	8008
450	6567	7994
451	6579	7976
452	6593	7961
453	6607	7946
454	6622	7932
455	6636	7916
456	6650	7902
457	6665	7887
458	6682	7875
459	6701	7866
460	6720	7857
461	6739	7848
462	6757	7837
463	6775	7827
464	6790	7812
465	6804	7797
466	6816	7780
467	6831	7765
468	6844	7749
469	6858	7734
470	6873	7719
471	6887	7704
472	6901	7689
473	6916	7675
474	6930	7659
475	6944	7644
476	6957	7628
477	6971	7612
478	6985	7597
479	7000	7583
480	7014	7568
481	7029	7554
482	7043	7539
483	7057	7523
484	7069	7507
485	7084	7492
486	7098	7477
487	7112	7462
488	7127	7447
489	7141	7433
490	7155	7418
491	7170	7403
492	7182	7386
493	7197	7372
494	7215	7360
495	7229	7346
496	7244	7331
497	7257	7316
498	7272	7302
499	7286	7286
500	7301	7272
501	7316	7257
502	7330	7243
503	7342	7226
504	7357	7211
505	7370	7196
506	7385	7181
507	7399	7166
508	7413	7150
509	7427	7136
510	7441	7120
511	7455	7106
512	7470	7091
513	7484	7076
514	7497	7060
515	7511	7045
516	7525	7030
517	7539	7015
518	7554	7001
519	7568	6986
520	7583	6972
521	7597	6957
522	7612	6942
523	7626	6927
524	7640	6912
525	7654	6898
526	7669	6883
527	7682	6868
528	7694	6851
529	7708	6835
530	7722	6821
531	7737	6806
532	7751	6792
533	7766	6777
534	7780	6762
535	7794	6747
536	7808	6732
537	7822	6717
538	7836	6702
539	7848	6685
540	7861	6670
541	7879	6658
542	7895	6644
543	7913	6633
544	7931	6621
545	7950	6610
546	7967	6598
547	7982	6583
548	7996	6568
549	8010	6553
550	8024	6539
551	8038	6524
552	8053	6509
553	8067	6495
554	8082	6480
555	8097	6466
556	8111	6451
557	8125	6436
558	8139	6421
559	8153	6406
560	8167	6391
561	8182	6377
562	8197	6362
563	8213	6349
564	8227	6334
565	8242	6320
566	8257	6305
567	8271	6291
568	8286	6276
569	8302	6263
570	8317	6248
571	8331	6234
572	8346	6219
573	8360	6204
574	8372	6188
575	8387	6173
576	8401	6159
577	8415	6144
578	8430	6129
579	8445	6115
580	8458	6100
581	8473	6085
582	8487	6070
583	8502	6056
584	8516	6041
585	8531	6027
586	8545	6012
587	8559	5997
588	8574	5982
589	8588	5968
590	8603	5953
591	8616	5938
592	8632	5925
593	8647	5910
594	8661	5895
595	8676	5881
596	8691	5866
597	8706	5852
598	8720	5837
599	8736	5824
600	8750	5809
601	8765	5794
602	8779	5780
603	8793	5765
604	8808	5750
605	8823	5736
606	8837	5721
607	8851	5707
608	8866	5692
609	8881	5678
610	8895	5663
611	8910	5649
612	8924	5634
613	8938	5619
614	8953	5604
615	8972	5593
616	8990	5580
617	9009	5568
618	9027	5556
619	9046	5544
620	9062	5530
621	9077	5516
622	9092	5502
623	9106	5487
624	9121	5473
625	9136	5458
626	9150	5443
627	9163	5427
628	9178	5413
629	9195	5400
630	9208	5384
631	9222	5370
632	9237	5355
633	9249	5339
634	9263	5324
635	9278	5310
636	9292	5295
637	9306	5280
638	9321	5265
639	9335	5251
640	9350	5236
641	9364	5221
642	9378	5207
643	9392	5192
644	9407	5177
645	9421	5163
646	9434	5147
647	9449	5132
648	9463	5118
649	9477	5103
650	9492	5088
651	9505	5073
652	9520	5059
653	9535	5044
654	9549	5029
655	9563	5015
656	9578	5000
657	9592	4985
658	9606	4971
659	9621	4956
660	9635	4941
661	9649	4926
662	9664	4912
663	9679	4897
664	9693	4883
665	9707	4868
666	9721	4853
667	9736	4838
668	9748	4823
669	9762	4808
670	9776	4793
671	9790	4778
672	9805	4764
673	9819	4749
674	9831	4733
675	9845	4718
676	9859	4703
677	9874	4689
678	9888	4675
679	9902	4660
680	9917	4645
681	9930	4630
682	9944	4615
683	9958	4600
684	9973	4586
685	9987	4571
686	10001	4556
687	10016	4542
688	10030	4527
689	10045	4513
690	10064	4500
691	10083	4487
692	10101	4475
693	10117	4461
694	10136	4448
695	10153	4434
696	10168	4420
697	10186	4407
698	10201	4392
699	10215	4378
700	10229	4363
701	10243	4348
702	10257	4333
703	10269	4317
704	10284	4303
705	10298	4288
706	10313	4274
707	10328	4259
708	10342	4245
709	10357	4230
710	10372	4216
711	10386	4201
712	10400	4186
713	10415	4171
714	10430	4157
715	10443	4142
716	10458	4127
717	10472	4113
718	10486	4098
719	10501	4083
720	10516	4069
721	10530	4054
722	10544	4040
723	10559	4025
724	10574	4010
725	10588	3996
726	10603	3981
727	10617	3967
728	10632	3952
729	10646	3937
730	10660	3922
731	10674	3908
732	10689	3893
733	10703	3879
734	10717	3864
735	10732	3849
736	10746	3834
737	10761	3820
738	10775	3805
739	10790	3791
740	10801	3775
741	10816	3760
742	10831	3746
743	10845	3731
744	10860	3717
745	10874	3702
746	10888	3687
747	10903	3673
748	10917	3658
749	10932	3644
750	10946	3629
751	10960	3614
752	10975	3600
753	10989	3585
754	11003	3570
755	11018	3556
756	11032	3541
757	11046	3526
758	11061	3512
759	11075	3497
760	11089	3482
761	11104	3468
762	11118	3453
763	11133	3439
764	11150	3425
765	11170	3412
766	11190	3399
767	11209	3386
768	11227	3372
769	11245	3359
770	11259	3344
771	11273	3329
772	11288	3314
773	11302	3300
774	11316	3285
775	11331	3270
776	11345	3256
777	11359	3241
778	11374	3226
779	11389	3212
780	11403	3197
781	11419	3183
782	11434	3168
783	11448	3154
784	11462	3139
785	11477	3124
786	11491	3110
787	11505	3095
788	11520	3080
789	11533	3065
790	11547	3051
791	11562	3036
792	11576	3021
793	11592	3007
794	11607	2993
795	11620	2978
796	11634	2963
797	11646	2948
798	11660	2933
799	11675	2918
800	11690	2904
801	11704	2889
802	11718	2874
803	11732	2860
804	11747	2845
805	11761	2831
806	11775	2816
807	11789	2801
808	11804	2786
809	11819	2772
810	11833	2757
811	11847	2743
812	11862	2728
813	11876	2713
814	11891	2699
815	11905	2684
816	11920	2670
817	11935	2655
818	11949	2640
819	11964	2626
820	11978	2611
821	11993	2597
822	12008	2582
823	12022	2567
824	12037	2553
825	12051	2538
826	12066	2524
827	12080	2509
828	12094	2494
829	12108	2480
830	12123	2465
831	12137	2450
832	12151	2436
833	12169	2422
834	12184	2407
835	12199	2393
836	12213	2378
837	12227	2363
838	12245	2349
839	12264	2336
840	12282	2322
841	12298	2307
842	12316	2293
843	12334	2279
844	12348	2265
845	12363	2250
846	12377	2235
847	12391	2221
848	12406	2206
849	12420	2191
850	12435	2177
851	12449	2162
852	12464	2148
853	12478	2133
854	12493	2118
855	12508	2104
856	12523	2089
857	12538	2075
858	12552	2060
859	12567	2045
860	12581	2031
861	12596	2016
862	12611	2002
863	12625	1987
864	12639	1972
865	12653	1957
866	12667	1943
867	12681	1928
868	12695	1913
869	12710	1899
870	12724	1884
871	12739	1869
872	12753	1855
873	12767	1840
874	12782	1826
875	12796	1811
876	12810	1796
877	12824	1782
878	12839	1767
879	12853	1752
880	12868	1738
881	12882	1723
882	12896	1708
883	12911	1694
884	12925	1679
885	12939	1664
886	12953	1650
887	12968	1635
888	12982	1621
889	12997	1606
890	13012	1591
891	13026	1577
892	13041	1562
893	13056	1548
894	13070	1533
895	13085	1518
896	13099	1504
897	13113	1489
898	13127	1474
899	13142	1460
900	13159	1445
901	13174	1431
902	13188	1416
903	13203	1402
904	13216	1387
905	13230	1372
906	13245	1358
907	13259	1343
908	13273	1328
909	13288	1314
910	13302	1299
911	13316	1284
912	13331	1270
913	13349	1256
914	13368	1241
915	13387	1227
916	13406	1213
917	13425	1199
918	13440	1184
919	13454	1169
920	13469	1155
921	13482	1140
922	13497	1126
923	13511	1111
924	13525	1096
925	13540	1082
926	13554	1067
927	13569	1052
928	13583	1038
929	13598	1023
930	13612	1008
931	13627	994
932	13642	979
933	13657	965
934	13671	950
935	13685	935
936	13700	921
937	13715	906
938	13729	891
939	13743	877
940	13757	862
941	13772	848
942	13787	833
943	13802	818
944	13816	804
945	13831	789
946	13845	774
947	13860	760
948	13874	745
949	13889	731
950	13904	716
951	13918	701
952	13932	687
953	13947	672
954	13961	657
955	13975	643
956	13989	628
957	14004	613
958	14018	599
959	14032	584
960	14046	570
961	14062	555
962	14076	540
963	14090	526
964	14106	511
965	14120	497
966	14135	482
967	14153	467
968	14169	453
969	14184	438
970	14198	424
971	14212	409
972	14226	394
973	14240	380
974	14255	365
975	14275	351
976	14296	336
977	14311	321
978	14325	307
979	14339	292
980	14354	278
981	14369	263
982	14381	248
983	14396	234
984	14411	219
985	14427	204
986	14445	190
987	14465	175
988	14483	161
989	14503	146
990	14521	131
991	14536	117
992	14551	102
993	14565	87
994	14580	73
995	14595	58
996	14609	43
997	14624	29
998	14638	14
999	14652	0
