iter	Logloss
0	0.6838526454
1	0.6745688952
2	0.6667267872
3	0.6584097708
4	0.6522267062
5	0.6450391104
6	0.639226685
7	0.6342710024
8	0.6294727631
9	0.6249858242
10	0.6208135052
11	0.6162267759
12	0.6124025991
13	0.6090642911
14	0.6034696392
15	0.6009570986
16	0.5962128488
17	0.5937221943
18	0.5913867589
19	0.5886422917
20	0.5867918606
21	0.5850403338
22	0.5828258835
23	0.5811823697
24	0.5791648677
25	0.5758108391
26	0.5741622499
27	0.5710947633
28	0.569639029
29	0.5672124684
30	0.5659173393
31	0.5647113045
32	0.5635327482
33	0.5623798433
34	0.5613275392
35	0.5602524322
36	0.55748376
37	0.5565916028
38	0.5556282095
39	0.5547194646
40	0.5537646641
41	0.5530042041
42	0.5520529995
43	0.5511419068
44	0.5504497211
45	0.5497574006
46	0.5476791325
47	0.5470710809
48	0.5464481994
49	0.545852753
50	0.5451250441
51	0.5444943324
52	0.5438899373
53	0.5433074043
54	0.5427207954
55	0.5422839177
56	0.5417242868
57	0.5409629176
58	0.5403864285
59	0.5397478708
60	0.5392074063
61	0.5384530423
62	0.537962687
63	0.5374790963
64	0.5369300479
65	0.5364644231
66	0.5358929036
67	0.5353838258
68	0.5348463976
69	0.5343462924
70	0.533851019
71	0.5334629944
72	0.5329611874
73	0.5325197386
74	0.5319363034
75	0.5315136841
76	0.5310312208
77	0.5305580285
78	0.5301809198
79	0.5296889742
80	0.5293309139
81	0.5289289373
82	0.5285775635
83	0.5266953516
84	0.5250120923
85	0.5246233715
86	0.5241629295
87	0.5237930892
88	0.5233850755
89	0.5230062926
90	0.5216964983
91	0.5212976573
92	0.520893846
93	0.5194550653
94	0.5190459351
95	0.5187164129
96	0.5183868057
97	0.5179766181
98	0.5175988188
99	0.517219932
100	0.5168844925
101	0.516538166
102	0.5146491837
103	0.5142987776
104	0.5139641724
105	0.5072195268
106	0.5069167127
107	0.5065227841
108	0.5061687553
109	0.5058318664
110	0.5055347324
111	0.5052247918
112	0.5049432644
113	0.5046090706
114	0.5042718684
115	0.5038946268
116	0.503587198
117	0.5032154969
118	0.5029145044
119	0.5025890069
120	0.5022978782
121	0.5019418212
122	0.5006872654
123	0.5002349471
124	0.4998562279
125	0.4995566025
126	0.4991964341
127	0.4989324826
128	0.4986450918
129	0.4983746097
130	0.4980165023
131	0.4977415327
132	0.4968446403
133	0.496491909
134	0.4962087852
135	0.4959607653
136	0.4956528729
137	0.4952275617
138	0.4949677451
139	0.4947201424
140	0.49445714
141	0.4941767964
142	0.4937547963
143	0.493443545
144	0.4931887514
145	0.4927418514
146	0.4921585555
147	0.4918487276
148	0.4915612064
149	0.491277407
150	0.4910212135
151	0.4907281242
152	0.4903316033
153	0.4900728638
154	0.4897719703
155	0.4893659673
156	0.4891078674
157	0.4887990368
158	0.4884891817
159	0.4881594155
160	0.48787373
161	0.4875625384
162	0.4873047575
163	0.4871040982
164	0.4867684862
165	0.4864595161
166	0.486193464
167	0.4851386946
168	0.4849295284
169	0.4846766435
170	0.4842514422
171	0.4839671797
172	0.4836579312
173	0.4833948166
174	0.4831310845
175	0.4828034707
176	0.4825309053
177	0.481755007
178	0.4815089183
179	0.4812230904
180	0.4808405897
181	0.4806096923
182	0.4803126926
183	0.4798356058
184	0.4795101013
185	0.4791813348
186	0.4788424458
187	0.4785308571
188	0.4783137199
189	0.4777705863
190	0.4775071787
191	0.4772158958
192	0.4769971512
193	0.4766822865
194	0.4764316833
195	0.476181495
196	0.4758564923
197	0.4756580477
198	0.4754605103
199	0.4752277461
200	0.4743341463
201	0.4741266674
202	0.4738963899
203	0.4735597958
204	0.4731887149
205	0.4730120223
206	0.4727608893
207	0.4724501855
208	0.4722123789
209	0.4718693277
210	0.4715704299
211	0.4713286257
212	0.471036697
213	0.4707798774
214	0.4705053063
215	0.4702393707
216	0.470007135
217	0.4697717656
218	0.4695496162
219	0.4693296358
220	0.4690997918
221	0.4688354204
222	0.4685912327
223	0.4683492619
224	0.4681153271
225	0.4678836468
226	0.4676075802
227	0.4673325949
228	0.4669823134
229	0.4666278559
230	0.4662496051
231	0.4659893827
232	0.4657718772
233	0.4655340658
234	0.4652682605
235	0.465036968
236	0.4646818639
237	0.4644952638
238	0.4642693401
239	0.4638428152
240	0.4634860557
241	0.463219074
242	0.4629878882
243	0.4626789595
244	0.4624452867
245	0.4622049444
246	0.4618548971
247	0.4616327462
248	0.4613701677
249	0.4611149377
250	0.4608837712
251	0.4606220703
252	0.4602827984
253	0.4599745845
254	0.4597523614
255	0.4593826596
256	0.4591153924
257	0.4588837786
258	0.4586814049
259	0.4584153914
260	0.45816612
261	0.4579285952
262	0.4574954377
263	0.4572926587
264	0.4570706576
265	0.4568253293
266	0.4566178634
267	0.4563799599
268	0.4561656504
269	0.4559109077
270	0.4556801833
271	0.4552765771
272	0.4548829982
273	0.4545385779
274	0.4542536595
275	0.4540143781
276	0.4537767019
277	0.4535216144
278	0.4532800379
279	0.453031871
280	0.4527400922
281	0.4525213512
282	0.4522790536
283	0.4520688608
284	0.4517113494
285	0.4514675539
286	0.4512418473
287	0.4509991325
288	0.4507421798
289	0.4505050418
290	0.4501841531
291	0.4499496893
292	0.449726698
293	0.4494711024
294	0.4492635285
295	0.4490274288
296	0.448728956
297	0.4481998475
298	0.4479905318
299	0.4477544487
300	0.4474800826
301	0.4472472481
302	0.4470045635
303	0.4467887753
304	0.4465660751
305	0.4463409637
306	0.4461254355
307	0.4458901582
308	0.445673843
309	0.4454523859
310	0.4452448584
311	0.4450480501
312	0.4448464829
313	0.4445691013
314	0.4443327504
315	0.4440478975
316	0.44381254
317	0.4436115024
318	0.4433283497
319	0.4430956303
320	0.4428600155
321	0.4426536756
322	0.4424510921
323	0.4422333261
324	0.4420322931
325	0.4418133457
326	0.4416174223
327	0.441420629
328	0.4412281859
329	0.4410297583
330	0.4408273666
331	0.4406429065
332	0.440410352
333	0.4401997844
334	0.4400096654
335	0.4398120181
336	0.4396171392
337	0.4394093213
338	0.4392105743
339	0.4389976208
340	0.4387855665
341	0.4385763982
342	0.4383690165
343	0.4381826691
344	0.4379902873
345	0.4378046125
346	0.4376101347
347	0.4374183458
348	0.4372371294
349	0.437029109
350	0.4367935492
351	0.4365641912
352	0.4363464683
353	0.4361653314
354	0.4358255063
355	0.4355769825
356	0.4353105643
357	0.435131093
358	0.4349565849
359	0.4347216745
360	0.4345239225
361	0.4343475609
362	0.4341646335
363	0.4339783993
364	0.4337169952
365	0.4331176538
366	0.4329318181
367	0.4327623804
368	0.4325690143
369	0.4323883505
370	0.4321642086
371	0.4319237073
372	0.4317384906
373	0.4315635537
374	0.4312608369
375	0.4310736956
376	0.430901182
377	0.4307301595
378	0.4305464127
379	0.4303717501
380	0.4301538382
381	0.4299761175
382	0.4297274758
383	0.4295613004
384	0.42937693
385	0.4291802488
386	0.4289786463
387	0.428748668
388	0.4285154153
389	0.4283135748
390	0.4281571347
391	0.4279637498
392	0.42777341
393	0.4276092006
394	0.4274173588
395	0.42723405
396	0.4270235986
397	0.4268094717
398	0.4266315631
399	0.4264556504
400	0.4262742655
401	0.4260876543
